name,use,name_en,name_ch
A39.1,1,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen症候群
A39.2,1,Acute meningococcemia,急性腦膜炎球菌菌血症
A39.3,1,Chronic meningococcemia,慢性腦膜炎球菌菌血症
A39.4,1,"Meningococcemia, unspecified",腦膜炎球菌菌血症
A39.5,0,Meningococcal heart disease,腦膜炎球菌心臟病
A39.50,1,"Meningococcal carditis, unspecified",腦膜炎球菌性心臟炎
A39.51,1,Meningococcal endocarditis,腦膜炎球菌心內膜炎
A39.52,1,Meningococcal myocarditis,腦膜炎球菌心肌炎
A39.53,1,Meningococcal pericarditis,腦膜炎球菌心包膜炎
A39.8,0,Other meningococcal infections,其他腦膜炎球菌感染
A39.81,1,Meningococcal encephalitis,腦膜炎球菌性腦炎
A39.82,1,Meningococcal retrobulbar neuritis,腦膜炎球菌性眼球後神經炎
A39.83,1,Meningococcal arthritis,腦膜炎球菌性關節炎
A39.84,1,Postmeningococcal arthritis,腦膜炎球菌感染後關節炎
A39.89,1,Other meningococcal infections,其他腦膜炎球菌感染
A39.9,1,"Meningococcal infection, unspecified",腦膜炎球菌感染症
A40,0,Streptococcal sepsis,鏈球菌性敗血症
A40.0,1,"Sepsis due to streptococcus, group A",A型鏈球菌所致之敗血症
A40.1,1,"Sepsis due to streptococcus, group B",B型鏈球菌所致之敗血症
A40.3,1,Sepsis due to Streptococcus pneumoniae,肺炎球菌所致之敗血症
A40.8,1,Other streptococcal sepsis,其他鏈球菌性敗血症
A40.9,1,"Streptococcal sepsis, unspecified",鏈球菌性敗血症
A41,0,Other sepsis,其他敗血症
A41.0,0,Sepsis due to Staphylococcus aureus,金黃色葡萄球菌所致之敗血症
A41.01,1,Sepsis due to Methicillin susceptible Staphylococcus aureus,甲氧西林敏感性金黃色葡萄球菌所致敗血症
A41.02,1,Sepsis due to Methicillin resistant Staphylococcus aureus,抗甲氧西林（抗藥性）金黃色葡萄球菌所致敗血症
A41.1,1,Sepsis due to other specified staphylococcus,其他特定葡萄球菌所致之敗血症
A41.2,1,Sepsis due to unspecified staphylococcus,未明示之葡萄球菌所致之敗血症
A41.3,1,Sepsis due to Hemophilus influenzae,流行性感冒嗜血桿菌所致之敗血症
A41.4,1,Sepsis due to anaerobes,厭氧菌所致之敗血症
A41.5,0,Sepsis due to other Gram-negative organisms,其他革蘭氏陰性菌所致之敗血症
A41.50,1,"Gram-negative sepsis, unspecified",革蘭氏陰性菌敗血症
A41.51,1,Sepsis due to Escherichia coli [E. coli],大腸桿菌性敗血症
A41.52,1,Sepsis due to Pseudomonas,綠膿桿菌所致之敗血症
A41.53,1,Sepsis due to Serratia,Serratia氏桿菌所致之敗血症
A41.59,1,Other Gram-negative sepsis,其他革蘭氏陰性菌敗血症
A41.8,0,Other specified sepsis,其他特定之敗血症
A41.81,1,Sepsis due to Enterococcus,腸球菌所致之敗血症
A41.89,1,Other specified sepsis,其他特定之敗血症
A41.9,1,"Sepsis, unspecified organism",敗血症，未明示病原體
A42,0,Actinomycosis,放線菌病
A42.0,1,Pulmonary actinomycosis,肺放線菌病
A42.1,1,Abdominal actinomycosis,腹腔放線菌病
A42.2,1,Cervicofacial actinomycosis,頸及顏面放線菌病
A42.7,1,Actinomycotic sepsis,放線菌性敗血症
A42.8,0,Other forms of actinomycosis,其他型放線菌病
A42.81,1,Actinomycotic meningitis,放線菌性腦膜炎
A42.82,1,Actinomycotic encephalitis,放線菌性腦炎
A42.89,1,Other forms of actinomycosis,其他型放線菌病
A42.9,1,"Actinomycosis, unspecified",放線菌病
A43,0,Nocardiosis,諾卡菌病
A43.0,1,Pulmonary nocardiosis,肺諾卡菌病
A43.1,1,Cutaneous nocardiosis,皮膚諾卡氏菌病
A43.8,1,Other forms of nocardiosis,其他型諾卡菌病
A43.9,1,"Nocardiosis, unspecified",諾卡菌病
A44,0,Bartonellosis,巴東蟲病
A44.0,1,Systemic bartonellosis,全身性巴東蟲病
A44.1,1,Cutaneous and mucocutaneous bartonellosis,皮膚及皮膚黏膜巴東蟲病
A44.8,1,Other forms of bartonellosis,其他型巴東蟲病
